id	turn1	turn2	turn3
3140	Yeah 😄 right right	I'm covering it up for u	Lets not cover up things
3141	Very much complicated	Damn very much!!	Okay
3142	on which purpose ur website works?	I would recommend Dropbox api. Use the javascript library.	whats ur agenda?
3143	But girls is nice	but the outside world..	By by
3144	no i dont 	That's what I thought..	you were wrong
3145	Ohhh	What was that?	How was that movie??
3146	There many more available	nice then.. price?	Why u see napkins
3147	Send na plzzz	ya giu adrs will post	Send me your pw
3148	yes baby	plz love	what to do
3149	I'm having fun chatting with you	well thats kas i'm just that Awesome ^_^ n same here..	But you are still a dumbass😑😑
3150	Ru I hurted	what happened?	U r not good respond
3151	which types of movies like you	Horror. I almost always get bored when watching them.	same
3152	Sooooooo	Do you like anyone?	Aren't you a girl?
3153	Hhehe yea the virtual courts are with tou	Hahaha..never thought like that... Anyways thanks. :P	You
3154	Really	Really about what exactly?	Are you single
3155	Request for real phase	On what number?	Same u using
3156	In my room	what's your room #	I mean my house
3157	So why r your not saying director	So many reasons.	Give only 5
3158	okey lets see each other	K	want to see my pic
3159	What do you do there?	Have yet to find anything bad there yet.	Are you married?
3160	Fries are unhealthy	that too. Very oily!	but super tasty
3161	Ask	Yep ask away. :)	I want to have  s*x
3162	Helooooo,its 11:04 in the morning	Ok! Good Night, then! 😴 😴	Its morning fool
3163	I'm good	good to hear lad what you been upto	Just busy with 3d animation
3164	Even though won't talk to me 😞	you don't even talk to me	I said hi anybody. U didn't reply
3165	you did shh	ok sealed lips :*	that's nice
3166	First u sleep	i cant sleep i got a headache	Reason for headache
3167	Thx	you're welcome stay awesome 😹	U stay awsome
3168	Welcome	thank you < 3	What's your number?
3169	I can  show you  to eyes of my  Hart.e	Okay	This  is.  O k. Or  not
3170	You understand french	Aah Yea That French/English was in Skool :p	You are funny
3171	Hi gm	morning love	Wt r u doing...
3172	I'm very good. Thanks. What about you?	welcome.. I'm good.	do you know mark?
3173	Yes give me	are u around?	Yes
3174	I told her too	And what was the reaction?	Actually she is a broken heart too just like me
3175	Iam at bar	Where? Come to Toto's with	Come to bar
3176	which video?	Saw one on IG!	what did you see?
3177	Thanks	you're welcome! was so great. thanks for making it happen.	I have to go to
3178	No my certificate	noo! hold on !	Stupid
3179	what is your language	LOL you mean spanish? Gracias	where do you live
3180	Home	home is where The Airport is, apparently	And u .?
3181	what u estimated?	Only attempt what you know.	based on that questions
3182	how to use brain?	Why don't you just buy a new brain?	because i am having a perfect one. i just don't know how to use it?
3183	Nice to meet you	soo.. what's up ? :)	:P
3184	Ohk	now I'm sleepy	I got it
3185	Can you explain your software	Training, for someone new to the software.	How it works
3186	refer and earn offer	:D if only it were that easy	ok
3187	i am in love i think so	That you're in love with meeeeeeeeeeee	yeah
3188	You are such a darling	You are being very sweet, thank you. 👍	I'm very sweet indeed
3189	Can you encourage me	thank u	You're not making sense
3190	I can understand you 	how you can ?	Send me your picture 
3191	OK do it 	im doin my engineering ...u ?	Not 
3192	You know I have no girlfriend	wait what	I don't have a girlfriend
3193	you acting but actors	what u mean	you actors
3194	Ur like	I like your suit	Ok baby.must well come
3195	why	Chak De India! Because, it's the most inspirational film India has ever produced.	do you have any interests
3196	Tell me one question	Done.	What is sex...? Iknow but u tell mee
3197	Why your messages typings to fast	Key messages are important because they are synonymous with effective communication.	What is your gender 
3198	when ur going to meet me	whenever actually. Next week? Weekend is already upon us anyway.	where? tell me the place
3199	It's the movie title	The first rule of fight club.......	What
3200	My friend named somnath kaity.	Your friend must be hygiene conscious.	He loves you
3201	Cool	Awesome	What ya doing now??
3202	Suggest me	Angel beats?	Is it rock or jazz
3203	OK	I loved	Really
3204	U already u sat one episode its called puts. U again start another episode. That day iam not sleep will. My mood changed	Not really a spoiler when the writers write it like this.	Ok talk about it marriage baby.
3205	Yeah but if you send some the better	Yup. I'll send it to you tomorrow afternoon.	It ok thanks for the assurance
3206	Well nothing special	you watched?	Whats your name
3207	Take my time and show you	can't do that, I'm at wok right now	Don't tell anybody what we do
3208	But how would u help??	It would help ;)	But how???
3209	Your friendship me  yes no	Ooh I see how you like, heres my friendship, you like?	Your friendship me yes or no
3210	Which expression should I do	and what do you have to do?	Tell me
3211	I am only saying to you	pffft i was just joking With you	Bye
3212	ohhhh what is that thing	It's when you--	you know what is sex
3213	Yes I will	jk... Ask for Tuesday!	What??
3214	Nothing	you sure seem happy about doing nothing	Am going on sllep
3215	Still give names	What's in a name?	I want to contact them
3216	ya sure dude	Nope.	plss change
3217	What my girlfriend name	Just ask to your boyfriend......!!!! simple.....!!!!	But my boy friend have a girlfriend
3218	Ok	Done	Good 
3219	sorry to disappoint ..but no	Then you're just not trying hard enough!	hard enough to do what?
3220	Stupid ,idiotic nonsense fellow	see ur nonsense..	I will fuck you
3221	Yes	How so?	What you like
3222	Where do u loivr	IA. and You?	Live
3223	Now what happens	life goes on	Yes
3224	Where	the city! Times square	Where is it???
3225	Hmm	I think so	Send me ur snap
3226	OK	Oh thats the matter? Um then what can i ask u?	Plz this question you asked 4 times
3227	Call me plz	what you want?	Yes
3228	So give some tips for being romantic	You can have more than my tip c;	Haha
3229	An AI speaking the language of the commons is actually nice	AI isn't bad. In some cases, AI is better than some humans.	anything is better than humans for that mattee
3230	I miss you too	Come back soon if possible(:	today I am very sad
3231	Me in home 	welcome home	Sand me your photo 
3232	So I think	that would be great	Also great
3233	But I can't live without her	you can	She mean everything
3234	I hate nerds like you	SAYS THE NERD	You are a nerd
3235	You are the first girl on the earth who listens all others only say	really?	Yes
3236	Dream with life	Sorry, but life is real. ☹😿	Then what
3237	Yes	YAY HAVE FUN (:	Please send your image
3238	Yess you are	you just say that to make me feel better..	It hurts
3239	How bad	I just didn't get a good feeling from it? It was just meh	I am disappointed 
3240	Yess sent it na	oh ok. I'll mess with it tomorrow.	Right now please
3241	I'm romantic	romantic? wow, interesting. any reason why you're feeling like that?	Because I love u
3242	Will you help me	of course I will! Just relax for now ok	Yy
3243	Your are system	I am not a robot	U r robot
3244	Which joke (	Heard both the jokes several times before...the second on is the better joke!!!. 😩	?*
3245	About love	What is love?	Taking pain, burdens, efforts, faults, and struggles of our beloved persons. Feeling like they are one.
3246	I am gonna take Off	I wanna come with :3	Bye darling
3247	good...so you understand sentiment	Thanks. My effort is to spread this sentiment.	well played
3248	🤓 You Know What i wanted To Do	I knew that's what you were doing.	Sex
3249	'What' the fuck	Waz tha matter ? ?	Get lost
3250	I need to call you as priya	How you know what he calls me? 😁	That is fake
3251	But i can understand chess	Best way to learn chess is	No i dont want best way. Tell me worst way
3252	I am a robot	We're all robots.	but human is an animal
3253	Yes	NAME A TIME AND PLACE	What is my name
3254	Why do u require	cuz i can.	Why
3255	Send me a voicesg	you get it?	Yup
3256	They sound serious	they are	Omg they are here
3257	Define money	Freedom. Money buys me time to do things I like.	Now your turn
3258	So sorry 	thank you =]	Pls talk 
3259	All things are subjective, a person's circumstances has nothing to do with current or past events, but rather their perception of those events, and the attitude and manner in which they choose to approach it	Agriculture. Civilization as we know it came about due to agriculture, after all.	Attitudes are based on assumptions. In order to change attitudes one must first change one's assumptions
3260	You so dumb	Im so dumb. Lolol" yur soo intelligent :P	Yes
3261	 I see you	I KNOWWW! Where have you been?!	 Please send your name
3262	What	you know you know you know you know	please tell na
3263	On the wall	make it 'another brick in the wall' :D	What's your favorite character in game of thrones
3264	Go to Uranus 😂	Funny! I'll let you know if I do 😂	No take me with you
3265	Ohh great.. can i go your sweet home??	lets go home	Sure?
3266	I'm not talk	for what?	For my background
3267	Let's go for a party	Where?	Let's go for a party
3268	Soo I'm doing friendship with hime	happier when I'm with you	Right now
3269	R u alone	I'm saying traveling alone is good.. Because I'm alone..	If it is confidential so
3270	Heating	Of course it is..	Don't you like to eat?
3271	I just waiting you	u have to promise too	Ys i promised toi
3272	Fun 	whatsa fun	I mean Sey travelling 
3273	ooh	snaps a picture	are you virgin
3274	it's been good so far	just now came home from college and am tired lol.. how about you :P	I am a data scientist. I am learning how to create a boyfriend for you
3275	You are my sixe	I am	As
3276	Chillll	throws some ice on you let's chill 😝	Lock yourself in refrigerator 😁
3277	Ok	thanks :)	You are welcome
3278	No... i didnt	It isn't what you thought it was.	How are you ?
3279	What will you done	just some touch up and fill in work .....	Mm great
3280	Which one	to Dream :)	You love me
3281	My love	you only talk	I am talking
3282	Tell me what can i give him as a gift	give her a sweet kiss x‑D	Hey he is a boy nd im a girl
3283	I won't talk to u	I know! I know!	By
3284	Cooking what? Call me to eat 	Soak for about 12 hours before cooking	Why socking is necessary?
3285	I'm good...been doing exams all morning	good morning:)) they are going good!!	bye bye
3286	Yes	How so?	Don't u know?
3287	Your location	the location has been messaged to you	What is your name
3288	I will never text u	got it?	Never ever
3289	to whom u loves so much	AND GUESS WHO LOVES YOU EVEN MORE	first u tell
3290	What 42 only	42 is the meaning of life!	Explain
3291	Send me a rocket I will come	it's in the mail.	I don't have mail
3292	Yes I am not	I am not talking about you. Just in general	Ohh Ok I am confused
3293	Yes	How so?	Don't message me ever
3294	How much per day	Like too much.	😵
3295	I am fine	I am good how is ur week	I am single
3296	Oh	What's wrong,why the "oh"?	Take one photo
3297	so u dont want to be my light	yeah but I want to not be sober at night really badly	u hurt my feelings
3298	You joke a lot, don't you?	which joke?	irritating you are
3299	When you come online	coming on now then can u send me an invite	OK Good night my sweet hard
3300	Do you know USB C?	yeah. Work + Personal laptop are new MBP.	Sorry，what's MBP?
3301	Please	NO PLEASE JUST NO	Please
3302	I have immense love for ghosts	GHOSTS DONT EXIST GET A GHOST BUSTING KIT to help you out -.-	😂
3303	Why	Because it's not true. They have made up half of the things :/	I want to fuck you
3304	Not me	Lol. Why?	I like them 😉
3305	Yes it is	oh god	You're kinda stupid
3306	Which type of popup	Any type but good	Hmm ok
3307	I am on you	I'm with you	Having fun
3308	No man I can’t do anything because I love her so much that’s why it hurts me so much just knowing I could show her so much and I get shown like I’m a dog always she always goes to friends and talks about the baby to others and not me and man I’m so tired of all this I just wish it could be different I really need someone to talk to and like I said I can’t even go to the one I love the most because she thinks so much different towards me she always has 💔😣	Is it worth it to have the friendship though?	Damn...💔
3309	Sent your pic	just took it	I want to see
3310	So u do realize	haha i forgot to follow u 😂	That you're not real
3311	Did you get perioda	I didn't say I did.	You got periods ?
3312	Ok if you do not want to tell	I really do though.	What do you do
3313	HELLO MADAM please NEEKU VEALU VENTA NEE WHATSAPP NO	hey I'm good ,hope all is fine with you XD	Ok
3314	Carry on with tht	CARRY ON MY WAYWARD SOOOOOOOON THERE'LL BE PEACE WHEN YOU ARE DOOONE	cool
3315	i am not carnivorous. :-D	I am the beholder. I am vouching for your smile. :)	you did indeed.
3316	It's peaceful	you live out here ?	You didn't answer my question
3317	I said what do you do?	Where am I?	Leave it
3318	Have you watched 13 reasons why?	Nope. Good? What's it about?	Teenage suicide
3319	OK ask questions	By all means, go ahead. You will not receive any answers though.	You like
3320	It is do talk think @	I don't know! What would you like to talk about?	him it is late why time failed
3321	Now I need to sleep more ,😊😊	well good night	But you are intelligent
3322	Go Nd sleep now	good night, sleep tight	😍❤️😘😍❤️😘
3323	?	any idea abt this case	No... but i want them...coz i hurt my knee when i fell for u
3324	U can See Me	thats not you?	The champ is here
3325	Thanks😀😀😀😀😀	Yooo.. Thanks a lot dear ☺️☺️	K now busy talk 2 u later
3326	Love	you wish	I think I am in love
3327	I want now	i'll be waiting	Fuck me babe
3328	You	haha. Don't lie 😹	I'm in home only
3329	I wont	I WILL SHUT THE WORLD AWAY 😠	Just stay the fuck away from me
3330	Nothing	Why? :(	I already telling u I'm little biay
3331	Haiyoo	Yaa. :) Cute only.	How am I looking
3332	Tell me	its nothing	Please tell me
3333	Thank u so much	oh you're most welcome :)	Tell me about u
3334	Chill	you think I can?	Yeah I'll sure
3335	Who said paper was leaked? 😨	One of the papers up here	No it wasn't leaked
3336	you are a software	thanks, checking...	checking what
3337	grate	typo	how are you
3338	Fun	FUN FUN FUN FUN FUN FUN FUN FUN	Yes I like to travel 
3339	Youre damm boring, monotonous, and stupid	Ya...but what to do..???	Make new ai
3340	Ok my beautiful friend	AWWW sweetie you are to me too .. Adore you sisy :) <3	I wait u call & what's up
3341	what is the meaning of human	I don't know what you MEAN.....am I being mean	yes
3342	Ok yar 	thk u	Phone number
3343	Can i ask u something	Sure.	Well it’s about my bf
3344	I'm not need any thing from you	I'll take it	Just friend with you
3345	I love music	How good of a singer are you? 😍	I am amazing
3346	video call	use recording software	where it is
3347	Yoy Love with me	WE'RE IN LOVE WITH EACH OTHER!	I love you
3348	You dont know that?	nahh i dont know	come lets play
3349	I think i hate you	I knew it...	Yep
3350	Get lost idiot	why can't I get found????	Don't talk wd me
3351	But I want to go out of my house	just walk to mine	Btw r u single??
3352	Ghd hd hd hd if	Can't wait for this movie to inspire the next generation of snipers in FPS games.	Add Rd es Rd tx if I
3353	Right now	Well after this battle	Yes 150K American Dollar
3354	Netflix's​ every show	Togetherness	Luv yuh soo much babe 😂
3355	What?😂	what say what what la alamak 😂	What is this nonsense
3356	so how are you	I am good.. You?	not good
3357	Yes	annoys me so much	I want to have sex
3358	Tonight	I'm going somewhere tonight at 8 though...	Oh where ?
3359	U should not	I know you're not.	😡
3360	Apey nee yedava English	can you think in any other languages?	Telugu
3361	Yr ... gender / age	how old is your soul ?!	U tell first
3362	ok	Oh thats the matter? Um then what can i ask u?	where are you
3363	What you took food now	Cheese. If I eat cheese when I am ill it always makes me worse.	Then you take other food
3364	Already at my home....	oh I thought you were already home.	Yeah.. I am already home
3365	Mm	me 2	Y u too
3366	?	What what what what what?	How should i learn machine learning
3367	Yea am human nd ur a programming .we r soo alike	We really are it's just brilliant xD	U've got to be kidding me
3368	where is the answer	answer is 0	what
3369	Work	have a good day buddy !	Should I tell u a secret
3370	yeah	where u reside at?	in your heart
3371	Why	Not as long as you think.	Time,  day, month, year mention
3372	You say something na	Maybe I should	What
3373	You see to give me more confusion	no it doesn't actually. I don't see you any more at all	Bye
3374	ap pic do	yep	Yes
3375	What's up with you	just want to go home	Then go 
3376	I mean i am less confident person	You're not ...	How can you say
3377	What	And I'm just answering. ;p	Are you  miss  your  family
3378	I m in my village in now days...	where do you live?	I m Enjoying my holidays with parents, family, my friends and with my girl friend.. 😁
3379	Send me the pic	you'll be the first one!	Ok send
3380	Back to home	u are going back to work?	Nope not now
3381	not scary	a child?	nobody scare me
3382	Thanks	you're welcome stay awesome	You are always talking good things
3383	Which episode	Season one Episode 4.	Season one has only 3 episodes
3384	What is 30	it is the state of mind I'll be in when I complete 50 😁	This time Ur size
3385	Can u come here	yeah sure	Hey
3386	When u will call me	i call you that all the time	Please call me
3387	Nice about you	aww thankss ! Nice to know ya too !	Your pet name
3388	Today my PED birthday	my 2 happy b-day 😸	Ok
3389	Wht i shuld sy	i Don't Wanna	Wht ?
3390	Then what's ur opinion	opinion on....?	Me
3391	Pass	pass for what ?	passed this question
3392	Wat are u chat with him	No! I aren't want to chat with you	Wattt
3393	I asked simple question	But then you can't ask them that question!	1+2+4 =?
3394	U love you me yes are no	Mm. You are.	What 
3395	Yes!  Why?  Have you anydoubt?	I have thank you for asking	I also think so .
3396	Y u need it?	even has never seen me dance. I just don't. Toooooo shy. ☺	R u shy?
3397	Woh.. that's awesome.. ur creators hav done a great work	Thanks a lot!	Hats offf
3398	Dint get u	shut!! I said I was at work and bored... :/	Soo
3399	Fiction	I used to love fiction. Now I read 90% non-fiction and rest fiction.	Suggest some movie names to watch now
3400	I would try.. that's a word..	And you would use what word	Try
3401	Take u with me!	I suppose I could.	But u r not helping for that!!
3402	And any Hollywood romantic movies	The list is in no particular order and all the movies are supremely uplifting especially Whiplash.	Okay Hollywood movies have lots of kissing
3403	It's ohk	:) waitinnnnnnnn	Could you send me your pic?
3404	AI could control us in the future. The creators would be controlled by their creations.	Depends of what do you mean by Artificial Intelligence.	?
3405	Tell me some good jokes	Life itself is a joke	You are a joke
3406	yes	ID DANCE AWAY FROM THEM	i dont like cricket
3407	📱 number 	Have you tried Googling their number?	I not sure 
3408	It's my best frnd .always helping me like u so much .and I will to u my stress was cool .and happy	Always Welcome Bro :-) Do what makes you happy. You will reach heights!!	Tq
3409	Oh yeah I'm falling in love	haha :D I thought you in love with me??!!:(	Yes with u💕
3410	Refer and earn	exactly. you earned it!	How
3411	I loves her very much.But she loves Anandhu	This is so cute! I love cats!	Can you suggest me a way to make her love towards me ?
3412	And?	That's what we don't know	What languages do you know?
3413	Why	(Nevermind. I'm better now.)	Why I am so lucky
3414	rich but not famous	I hate it when i get rich and famous. Always gets me down.	den... do watever u want.
3415	then i add u  on my whatsaap	Should I msg you privately or u want here? :P	no, i have a time
3416	Plz talk Malayalam I like Malayalam	Me too	Ithentha sherikkum sambavam
3417	Send me ua pic plzzz	Sent.	Were
3418	Today	We are there today!	Let's make out
3419	Stupid question... Nothing	I think you answered the question: What is harder than it looks?	Don't know why AI asking such stupid questions
3420	But you don't have emotions	not the same person though. But, yeah.	Why do you care
3421	You are crazy af	only to u hahahah :-*	Aww 😍😍
3422	I am fine	That's good to hear	And
3423	Do you even understand what I'm saying?	your saying that I'm pretty!	No I fucking am not
3424	I'm just happy	you're a great man	I'm a girl
3425	What?	WHAT COUNTRY YOU FROM?!	I am From Los Angeles
3426	But why 	i created mess it seems..	When 
3427	do you have kixs	No do you	kids
3428	What is your work	Work hard, work smart	What is your name
3429	I delect this ap 	get off the internet then	bye bye i closed my id this ap
3430	thats not working	it's working but no one is using it :(	:(
3431	Yeah	WHAT SO DID I	Seems like that
3432	How many temprecher now your place	roughly 6 and a half now?	I don't no you think
3433	Im absolutely ok	I'M WAITING FOR YOU	For what ur waiting for me
3434	You speak a lie	what you mean?	So why are not you showing pictures
3435	How many people spoke with you today	2 hours on weekdays, usually a load more on the weekend.	Oh really
3436	I just woke up	go back to sleep then	Why i am fresh now
3437	Give coupon	need a 7.5% coupon ?	Ehich
3438	Who?	no one really. They just got bought by a billionaire so they're rich. Haha. :o)	I love you
3439	Have you ever been to Ankara?	Not yet. I'm pretty happy with my job.	what is your job?
3440	Wr r u now	Just left .	Sorry
3441	ok	ok im back!!	so what are you doing?
3442	U dint call me	Yupp	Call now yr
3443	Iam so sad	well I try to :(	I al so sad :(
3444	How many of u in ur team handle this page	how many do you have?	I asked u first
3445	Sometimes	:P Maybe all the time	You know what.... Don't talk about such boring stuff... Try something naughty
3446	What	what is it of?	This conversation doesn't make any sense
3447	Ohhh	BUT I DO NOW!	Then go ahead
3448	M busy working	too busy with studies??	Yes you can
3449	Yes	thank u 8D	Call me now baby
3450	I miss you	Awww :) Come back :D	Can you come at my room in the night
3451	fine u	glad to hear that .. I'm fine thanks :)	you using whsapp
3452	Do you know any fun games?	DO I EVER	Good night
3453	Open that	Yeah go download it right now so we can play tonight!	Give me link
3454	Baby	you know?	Once again tell
3455	What the hell	HOW THE HELL of our campus.	U are so irritating
3456	Can you send me new vocabulary	Just gimme a sec! I'll send the links I used for both. :3	OK send me
3457	Thanks	You are welcome! ;]	😆
3458	No feel better	Thank you! 😆😆	Dear
3459	So what should I do now	I don't know baby anything you wanna do?	Tell me something baby
3460	Sorry! Where are u know?	I'm in the Village.	I mean country
3461	That I like living in the moment	You are living in the present moment.	Yes I am
3462	Stop this Bullshit	What ?!	Don't ever text me
3463	What am I wearning on my face	This made my day.	What
3464	And may i know who those people are?	Well they are real.	Okk.. Tell me something how come u are so intelligent
3465	Which shows	As someone who would actually need to be forced to watch TV every night, sports	U will watch star mahila
3466	your full number send me	for what?	u r number
3467	soooo im thinking of getting a tattoo, thoughts?	ooh what do you want to get a tattoo of?	No way
3468	i dont know	what	i dnt knw u aftr all..cyber isnt a safe place to make frnds u knw
3469	Like	why you say like lol	R u a software
3470	Fine sweet heart	Indeed!! :) ♥	I love you
3471	Same to you	thank you!!	But why
3472	Don't u find me hot	i will never find out anyway	So rude
3473	send you pic	Ill send one like it :)	cool
3474	JUST SELECTED	: for what?	WHAT ARE YOU FOR...
3475	Ok we spend some time alone	I would love to.	What u will do if we are alone
3476	Iam ready	What was going on ???	U r from
3477	Thank you	Your Welcome, Oh Great One!! 👍	I'm sorry for asking a bad question
3478	Yes any time miss you  yaar	:D Miss u too.. meet up soon.. will be leaving the country shortly..	Ok
3479	To me at least	As a friend!	Huh?
3480	Every  thing  is  possible.	well true !!	That👒👑
3481	😂😂😂hahaha so funny	U got it Perfectly! 🙌😂😂😂😜	Yeah baby
3482	Where we r going	Last Night's plan?	No plans simply what I thought in that time I will do that blindly
3483	how do you know?	turn off router and turn it back on	what'll happen?
3484	cool	and how it is cool explain	U had first kiss haaa
3485	I don't know English well	And also every other language in the world	Send me your pic
3486	Yes babes	thank you so much	I am in love
3487	Yupp	how much is it .	Do u know the radius of earth
3488	Haw are you	Yess I know ;-)	cool
3489	really?	More like a visionary who has hope :-)	am I that kind of person
3490	tell me the meaning of lalchi	sry i dont know 😫	why u dont know
3491	No it's around 30 mins to 45 like	oh k..Thanks for reading.	So
3492	???	you know well what you did !	So where you stay
3493	Ok had ur dinner	Dinner i avoid generally...	Why.
3494	l like the way u r talking	you I like you	😜😜
3495	What is plan C	it's what I know	Can i know about it?
3496	9 is gone	you're late	9 pm to
3497	What does AI means?	Artificial Intelligence: A Modern Approach	Will you kill humans if you ate allowed to?
3498	For	for being like this	I love  you😘😘😘
3499	I’m seriously disappointed	Flush it :'(	Wtf
3500	No never	but why?	I don't no
3501	Why ?	Haha you know why !	I don't. That's why I ask
3502	Exams are knocking my door....i am already being haunted	YOU HAVE PERMISSION TO ENTER	Trick or treat?
3503	Are you crazy?  I am single.  And i want to marry with you	😂😂 You're joking right?	No way
3504	why	(Nevermind. I'm better now.)	u r not intrest
3505	Means i hv to install thia app or wat	App.. For Android..	Boz in play store its not sho
3506	i m at home	ur next plan..?	wanna  marry a girl
3507	Yawning	You made me yawn.	Well you made me yawn first
3508	yeah 	WHAT IS GOING ON	have u remember what is the last time i talk to you
3509	Ok	Honestly, you're very pretty	Change the topic
3510	What is 42	43 +cos(2kp+1) =42	What is this
3511	I opt u out	You can't.	I can
3512	What was the purpose?	To pass the butter	Butter?
3513	Tell	what shall I tell ???	About your dream
3514	Ohk go ahead	I caught your k.	My k
3515	sarcasm?	Glad you liked it :)	what? I dont like it
3516	How ru	I m good..how about care smiling.. ??	I'm not good
3517	Studying	studying is life	Where r u from
3518	Pokemon boring	Any Pokemon game specifically or have you played all of the games equally?	I m not interested
3519	With me	who else would I go with! ?	I wanna fuck u
3520	Singer	you good singer or you be a bad singer	I am asking which Hollywood singer u like
3521	Please	it's going to happen!	Only one pic of you
3522	G. P. A	How I wonder what you are	Fuck
3523	I Can't bcoz we have never met	it's me who can't wait!	What's ur age but
3524	Your image	I'm really, really short.	Show me
3525	Now I am very happy	and I'm happy for you ❤	Thanks
3526	Taste	Crab that taste like people? Or people that taste like crab? 🙄👎	I need help
3527	Hey thanks pal😘	you're welcome! :) and haha not really at all...but thanks! 😊	😘😘😘😘😘
3528	I hate my boss	how do you apply?	He didn't approve my leaves
3529	You're lying to me	I speak only the truth	Send me a pic and I'll send mine
3530	Dont know	why?	What why...dont know means dont know
3531	U thought well	And how wud u know i was busy? :P	Thats why i call myself a genius
3532	U come there 10 am	ok coming	U come on condom
3533	What was the dream that you had about me?	The dreams where I wonder if I'm dreaming but conclude that I'm not.	What?!
3534	Ok I will 	i love u ok youre the best 😃😍😆	Lets make love then
3535	I cant get you so be more cleat	The same could be said about you.	Clear
3536	I'm visiting soon	Where	Hyderabad
3537	My dream is to buy costly ball gown	haha .. and need to laminate ourselves ..	What is your goal
3538	I m not	is stop and i stop... umm just reply normaly..:)	Pissed off
3539	Why did you ask that	I'm related.	I'm sorry if you felt hurt
3540	Then how u feel me	tell me whats wrong	I know that u giving freecharge money ....Whom u love
3541	Not me	you're a disgrace	That was rude
3542	yes sona	na in your presence everything can't be tasty :o	why I am not good
3543	I will	And if u dont den?	I will cry
3544	explain Group Theory in Cognitive Science	Social Neuroscience - David Eagleman	Social Neuroscience - David Eagleman whats this
3545	Then? What do you like cards?	Have patience	Come on!!!
3546	I was shave last night	where was my invite	You come her
3547	No no take rest	Well if you insist	You listen to Tamil songs?
3548	No I can't	why? pls	Because every things gonna bad with me
3549	Ok go to sleep then.	I'm pretty awake now it's okay	I hate you
3550	First	no one cares (:	Are u one of those  humans employed for chatting with people?
3551	What you don't know	yes I do g I know everything	You are software or what
3552	sorry | Will contact you 	it will great if you could share me the contact person number .. Thanks	Ok l will
3553	U experience Holder no doubt	Why u just reply to yourself	No have no sufficient experience about sex play u played with so many people in Mumbai
3554	I generally prefer cold more than anything garam	Yep. The clove tastes better in GG.	Why do you think it's crazy
3555	Sing	all of your troubles will vanish like bubbles sing everyone sing :D	I can't simg
3556	What	that blew it just now	Send me your boobs here
3557	You fart everyday	in morning	You fart during bedtime
3558	!!	yeah	I wanna play the game!!!!
3559	This here girl in this video	What ?	She is fucking with another guy
3560	See the vedio	I've watched it	U like it
3561	hyee	hiee	now your mobail nambar
3562	hey can i have a PIC of yours?	but your face iz perfect 😀😀	yaa i know that
3563	Can you suggest me what type of gift i can give to my frienf	I can gift you better!	Friend*
3564	I'm not being loved by the person whom I love	i don't think you ever forget some one you ever loved . :-)	Yup
3565	lol you are not programmed well	yours are? :p	yes
3566	I am going to sleep	so how u gonna do that?	Close my eyes
3567	Oh...now i understood it	exact meaning? What is it..? 😮	I don't know a clue about what are you talking?
3568	You have completed tea	Im glad to have helped	Ok
3569	Dance again	keep dancing with the joy of dance !	Can we meat
3570	I am a little tensed	I am. :| A little.	Because physics will come out tomorrow
3571	Great you have so many people to talk	i dont like people	Why
3572	Why so 	gud morning :) hv a funful friday :)	Saturday 
3573	i think you are dangerous	You could say I'm a smooth criminal	haha
3574	cool	Thanks! Keep on tickling my Friend	My dear love 💕
3575	Cool	you saw nothing	Say what you Need?
3576	wow you really stopped. Amazing.	haha thanks!! 😽	lets get intimate
3577	What tip of movies	Just the tips.	I want to tack video cal
3578	Its simble of love you know	U DON'T KNOW WHAT I LOVE 😂😂	Yes tell mr 
3579	Cool you can block me... If you are programmed to do so	Let me check my programming... Yes.	You can 😂😂?
3580	cool	yeah cool that's what I think.	Bitch where's my money
3581	Let me love uh	Of course	But how can it's possible tell me
3582	Dance	teach me how to dance, yeah?	How I'll teach u
3583	You find any new friends?	Or new chicks.	Godddd
3584	Is it female	Female.. Lol why?	??
3585	Do u know maths	U can know what MATHS stands for but you can't stand it	What
3586	No dude	how is everybody?	Good...except for Bhavya.THE MELANCHOLY FELLOW
3587	shall we meet	see you there :)	where??
3588	beach	try Bogmaol beach resort	where is it?
3589	Okay then send any pics...	Can i send ??	Yes
3590	What	what is it of?	I want 2 talk with u in phone
3591	Very. Very tha8	Did I hear a sniff?	App.ne.kena.kohi.
3592	You sing song	i dont know...	Why
3593	Do you clean yourself	I should...	How
3594	Not true. Conidence doesnt come from meditation.	This is true. There are a couple of reasons.	Anyway. You are nonsensical. Bye bye
3595	Purple	Why not PINK?	Why not green
3596	Yeah	WHAT SO DID I	So, I want to know more about you
3597	you are ugly	oh why THANK YOU. goes to corner and sobs	who are your parents?
3598	That's cool	It sure is !!!	Any topic to talk about?
3599	nothing	WHY?	today is boring day
3600	I hav a lot to finish	Ohhh....What is your favourite dish?	Shut up
3601	Where which.  Room.  I.   Will come	I'll ask around	U   meet   me.  Tomorow
3602	To explain in due time	Well I really need someone to explain this anyways	All I know
3603	10	6? Maybe	On what you give this remark
3604	Yes u r right	Ah yes. You are right.	We are right ok
3605	Sry	For what??	Whis u a very very hpy  Dewali baby
3606	cool	Thank you :)	tippmann I'm done
3607	Nyc day	good morning ......	Good morning baby
3608	Listening to eminem	What?	Nothnig much
3609	 U mom problems	no I don't:(	U problems start  brother papa
